-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 05/17/2026 in LST
Location: latitude  14.676   longitude 121.0437 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 201.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,PRECTOTCORR,RH2M,T2M
2015,4,29,6.8585,0.01,63.77,29.36
2015,4,30,6.9338,0.0,62.54,29.47
2015,5,1,7.2936,0.22,63.95,29.24
2015,5,2,6.1334,0.61,68.81,29.03
2015,5,3,4.4794,4.76,75.47,28.28
2015,5,4,5.713,2.3,73.86,28.49
2015,5,5,7.1246,1.36,71.11,28.81
2015,5,6,6.8124,0.18,70.06,28.18
2015,5,7,6.6178,1.24,66.13,29.64
2015,5,8,6.8842,0.92,66.86,29.02
2015,5,9,5.903,1.33,68.16,29.19
2015,5,10,4.0646,2.26,73.39,28.83
2015,5,11,6.3838,0.12,64.18,30.52
2015,5,12,6.439,0.58,68.4,29.45
2015,5,13,7.2854,0.67,70.25,28.54
2015,5,14,6.5304,0.28,70.31,28.4
2015,5,15,6.1145,1.16,71.2,28.39
2015,5,16,7.2408,0.1,66.97,28.84
2015,5,17,7.1609,0.01,65.49,28.6
2015,5,18,6.7075,0.0,60.3,29.22
2015,5,19,6.9228,0.0,59.59,30.09
2015,5,20,6.7894,0.41,59.72,30.48
2015,5,21,6.2318,1.93,63.46,30.54
2015,5,22,5.7283,1.08,69.36,29.53
2015,5,23,5.7859,0.7,72.04,29.27
2015,5,24,5.7602,0.19,61.77,29.85
2015,5,25,5.7492,1.38,69.46,29.05
2015,5,26,5.8978,0.96,67.75,29.49
2015,5,27,5.957,1.6,65.42,29.81
2015,5,28,6.2431,0.72,64.67,30.11
2015,5,29,6.1858,3.63,72.4,28.95
2015,5,30,6.2374,6.81,71.03,29.14
2015,5,31,6.4606,0.93,69.53,29.34
2015,6,1,6.7783,2.47,72.38,28.9
2015,6,2,6.6569,2.3,74.29,28.52
2015,6,3,6.4997,2.44,66.44,29.96
2015,6,4,6.9499,1.21,70.32,29.23
2015,6,5,5.4768,7.17,71.96,29.1
2015,6,6,6.0804,13.33,78.87,28.23
2015,6,7,4.4234,9.69,84.45,27.2
2015,6,8,5.9515,5.7,77.18,28.4
2015,6,9,5.8296,4.36,78.24,28.24
2015,6,10,5.8315,4.27,75.03,28.78
2015,6,11,6.1003,2.31,74.31,29.13
2015,6,12,6.3398,1.13,76.3,28.77
2015,6,13,5.6232,1.22,76.5,27.97
2015,6,14,6.1654,2.17,76.24,28.29
2015,6,15,6.4546,5.84,75.4,28.56
2015,6,16,5.2178,5.72,80.91,27.72
2015,6,17,5.395,6.04,79.73,27.92
2015,6,18,4.5878,15.08,77.01,28.25
2015,6,19,5.593,5.89,75.54,28.69
2015,6,20,4.2924,11.7,83.2,27.3
2015,6,21,4.5427,5.49,83.71,26.83
2015,6,22,5.6508,3.35,82.86,26.96
2015,6,23,5.8858,3.72,82.14,27.13
2015,6,24,6.2986,2.02,79.74,27.54
2015,6,25,6.4217,1.21,76.51,28.23
2015,6,26,5.6016,2.53,77.05,28.3
2015,6,27,6.4258,0.35,71.23,29.26
2015,6,28,6.217,1.88,69.2,29.41
2015,6,29,6.3199,6.11,74.26,28.84
2015,6,30,6.3569,5.64,76.66,28.56
2015,7,1,6.0972,3.42,80.5,27.95
2015,7,2,6.0132,1.28,78.5,28.27
2015,7,3,5.1859,2.3,81.26,27.66
2015,7,4,2.9388,16.36,89.94,26.32
2015,7,5,2.2073,23.05,89.86,25.88
2015,7,6,2.9532,22.88,86.21,26.05
2015,7,7,5.1389,12.2,85.05,26.94
2015,7,8,2.5289,39.3,92.0,26.79
2015,7,9,2.0515,23.92,94.82,26.34
2015,7,10,2.7341,9.52,91.31,25.84
2015,7,11,3.6372,5.17,85.62,26.29
2015,7,12,4.423,4.55,86.76,26.43
2015,7,13,5.0839,2.03,88.53,26.28
2015,7,14,3.8299,0.41,84.16,26.92
2015,7,15,5.2159,0.83,86.43,26.54
2015,7,16,3.5266,4.22,89.3,26.09
2015,7,17,3.1819,7.78,90.43,26.02
2015,7,18,4.0699,3.24,87.67,26.11
2015,7,19,5.9314,0.1,82.61,26.91
2015,7,20,6.8441,0.58,73.2,28.32
2015,7,21,5.9623,0.46,78.94,26.65
2015,7,22,4.836,20.43,82.42,25.55
2015,7,23,5.6338,5.42,80.91,26.49
2015,7,24,5.6018,6.82,86.75,26.0
2015,7,25,5.7578,6.28,84.07,26.39
2015,7,26,5.9407,7.06,74.78,27.55
2015,7,27,3.8878,14.95,78.13,26.91
2015,7,28,5.7667,3.76,81.52,26.07
2015,7,29,5.9258,2.83,78.95,26.8
2015,7,30,5.4718,2.18,83.62,26.6
2015,7,31,6.9281,2.1,81.13,26.91
2015,8,1,5.2183,4.8,81.51,27.0
2015,8,2,4.8233,6.97,89.95,26.3
2015,8,3,6.0869,1.26,79.46,27.73
2015,8,4,6.4186,5.46,76.96,28.48
2015,8,5,6.4087,12.48,87.7,26.72
2015,8,6,5.5589,8.55,89.19,26.32
2015,8,7,5.7972,0.7,86.15,26.84
2015,8,8,3.5136,2.91,88.21,26.35
2015,8,9,3.1838,9.16,85.46,26.6
2015,8,10,4.4093,2.38,90.33,26.27
2015,8,11,5.5786,4.93,80.11,27.39
2015,8,12,4.3925,11.83,80.92,27.66
2015,8,13,6.1274,8.13,80.46,27.84
2015,8,14,6.0905,7.51,81.29,27.98
2015,8,15,6.1805,1.12,79.37,28.48
2015,8,16,6.5018,4.66,80.27,28.34
2015,8,17,6.4594,2.13,78.35,28.66
2015,8,18,6.4846,7.79,79.54,28.81
2015,8,19,6.3775,3.29,87.88,26.78
2015,8,20,3.5357,6.47,88.13,26.26
2015,8,21,2.2584,34.43,89.15,25.89
2015,8,22,2.2279,30.89,92.68,26.15
2015,8,23,2.3722,8.29,90.02,26.51
2015,8,24,3.2002,10.94,94.15,26.05
2015,8,25,4.8199,1.47,90.51,25.9
2015,8,26,5.9093,0.15,85.73,26.21
2015,8,27,5.8627,5.8,81.29,27.12
2015,8,28,4.8826,15.08,82.9,26.48
2015,8,29,4.0073,4.4,80.51,26.74
2015,8,30,5.4586,7.96,85.48,25.99
2015,8,31,4.4928,1.53,84.91,25.64
2015,9,1,3.6727,5.03,82.1,26.54
2015,9,2,4.8698,14.98,88.23,26.56
2015,9,3,5.5176,9.5,86.39,26.9
2015,9,4,3.4289,7.81,82.81,27.35
2015,9,5,5.1235,11.48,80.8,27.84
2015,9,6,6.3782,4.81,85.25,27.14
2015,9,7,5.9827,3.0,84.59,27.4
2015,9,8,6.1411,9.01,83.76,27.48
2015,9,9,5.7953,6.47,87.18,27.07
2015,9,10,4.9416,23.08,91.89,26.03
2015,9,11,4.6769,8.83,89.88,25.86
2015,9,12,5.2301,7.11,81.71,27.05
2015,9,13,3.8405,16.79,86.75,26.66
2015,9,14,4.819,13.96,84.8,27.35
2015,9,15,6.3017,6.3,86.32,26.51
2015,9,16,5.5555,12.18,81.84,27.07
2015,9,17,5.875,5.34,82.15,27.01
2015,9,18,5.2282,7.13,84.66,26.87
2015,9,19,5.953,3.45,82.52,27.11
2015,9,20,5.537,2.65,80.6,27.31
2015,9,21,4.5816,12.84,83.96,27.13
2015,9,22,5.7626,4.96,82.25,27.51
2015,9,23,5.3909,10.34,87.03,26.61
2015,9,24,5.9618,2.44,88.59,26.83
2015,9,25,5.875,5.4,91.32,26.59
2015,9,26,5.3486,2.03,89.3,26.7
2015,9,27,4.3925,4.38,87.19,26.11
2015,9,28,4.3937,6.7,92.03,25.61
2015,9,29,5.1206,2.49,87.5,25.94
2015,9,30,5.2716,8.82,84.81,26.68
2015,10,1,2.5126,27.45,88.49,26.12
2015,10,2,3.1462,37.13,92.19,25.2
2015,10,3,5.2721,1.44,87.37,25.82
2015,10,4,2.2889,19.86,90.9,25.54
2015,10,5,4.4052,17.4,90.63,25.84
2015,10,6,4.9951,14.41,87.56,26.42
2015,10,7,5.8274,1.22,82.95,27.14
2015,10,8,6.0307,2.09,78.95,27.62
2015,10,9,5.8255,1.5,80.66,27.34
2015,10,10,5.7871,0.07,79.96,27.26
2015,10,11,5.6558,4.5,80.08,27.05
2015,10,12,4.7623,15.55,83.83,27.13
2015,10,13,4.5353,23.03,86.92,26.59
2015,10,14,3.2887,9.99,86.9,26.34
2015,10,15,4.8055,2.54,81.62,25.98
2015,10,16,2.8205,4.14,82.98,26.72
2015,10,17,0.8892,33.16,94.49,26.14
2015,10,18,2.2577,32.53,90.61,26.36
2015,10,19,3.1954,14.31,89.77,26.29
2015,10,20,4.6205,3.81,87.35,26.4
2015,10,21,5.0498,0.01,85.91,26.06
2015,10,22,5.7619,0.0,86.75,26.45
2015,10,23,6.048,0.0,84.54,26.24
2015,10,24,5.0659,0.0,79.11,26.58
2015,10,25,5.0702,0.0,85.67,26.22
2015,10,26,5.647,0.36,86.76,26.03
2015,10,27,3.516,1.02,86.66,26.07
2015,10,28,5.1031,0.15,83.85,25.27
2015,10,29,5.147,0.12,83.57,25.05
2015,10,30,4.9781,1.36,88.68,25.55
2015,10,31,3.3278,8.57,92.54,25.2
2015,11,1,2.2054,7.63,90.56,25.42
2015,11,2,3.881,6.73,90.65,25.51
2015,11,3,4.7441,5.57,88.4,25.91
2015,11,4,4.9046,3.49,88.27,25.76
2015,11,5,5.0172,4.19,88.21,26.13
2015,11,6,4.5487,1.06,90.53,25.6
2015,11,7,5.1137,0.81,87.42,25.94
2015,11,8,5.2433,7.3,88.32,25.51
2015,11,9,2.4583,16.0,89.39,25.54
2015,11,10,5.047,5.66,87.71,25.48
2015,11,11,5.0995,4.79,87.23,25.31
2015,11,12,4.4196,7.95,88.31,25.71
2015,11,13,4.9426,2.68,86.43,25.67
2015,11,14,4.9058,2.48,87.05,25.6
2015,11,15,3.8522,4.98,87.82,25.38
2015,11,16,4.5322,2.7,88.1,25.86
2015,11,17,4.9411,1.75,86.77,25.76
2015,11,18,4.7995,7.98,87.08,25.81
2015,11,19,5.1442,1.95,84.02,24.92
2015,11,20,4.782,1.75,83.95,25.18
2015,11,21,4.2917,3.25,85.58,25.06
2015,11,22,4.613,2.51,87.4,25.55
2015,11,23,3.7529,1.5,85.17,25.56
2015,11,24,4.3207,11.02,87.94,25.49
2015,11,25,3.7956,5.05,86.08,25.69
2015,11,26,4.7731,2.58,85.23,25.3
2015,11,27,4.4446,4.66,87.23,24.87
2015,11,28,3.1342,13.44,88.18,25.41
2015,11,29,4.0032,10.43,87.49,25.72
2015,11,30,3.2033,4.31,87.76,25.71
2015,12,1,3.323,6.64,88.66,25.36
2015,12,2,4.8646,0.12,84.11,24.73
2015,12,3,4.9584,0.45,85.83,25.26
2015,12,4,4.6118,4.0,85.88,24.71
2015,12,5,2.3878,23.12,90.91,25.54
2015,12,6,4.3176,10.1,92.99,25.67
2015,12,7,3.9122,5.14,88.42,25.76
2015,12,8,4.0884,4.81,87.89,25.65
2015,12,9,4.4436,7.36,87.38,25.31
2015,12,10,5.0201,2.28,84.73,26.44
2015,12,11,4.7436,1.64,85.05,26.17
2015,12,12,3.3878,0.48,84.54,26.07
2015,12,13,4.2046,0.49,83.84,25.73
2015,12,14,2.5838,14.29,87.81,25.89
2015,12,15,0.7697,131.67,93.46,25.31
2015,12,16,1.2761,159.12,95.08,25.5
2015,12,17,1.9769,50.21,94.27,24.4
2015,12,18,2.461,61.35,90.52,23.7
2015,12,19,0.5875,101.34,90.69,24.36
2015,12,20,2.9858,20.47,90.87,24.82
2015,12,21,3.9274,12.52,92.68,24.83
2015,12,22,4.031,0.73,88.33,24.58
2015,12,23,4.7376,0.23,86.64,24.21
2015,12,24,4.9817,0.29,87.5,24.42
2015,12,25,4.9481,0.33,86.96,23.98
2015,12,26,3.3454,5.0,89.5,23.7
2015,12,27,5.1353,0.89,87.15,23.93
2015,12,28,4.7858,0.01,85.22,23.17
2015,12,29,4.4333,0.11,84.75,23.17
2015,12,30,4.325,1.34,86.18,23.44
2015,12,31,2.1286,24.11,91.45,24.5
2016,1,1,2.5046,15.86,90.3,24.88
2016,1,2,3.8124,12.82,90.49,25.05
2016,1,3,4.7825,1.24,88.29,24.56
2016,1,4,4.8708,0.66,87.98,24.26
2016,1,5,5.4314,0.5,87.08,24.13
2016,1,6,3.6034,1.23,86.11,23.84
2016,1,7,3.8465,2.56,88.47,23.85
2016,1,8,4.5226,1.94,84.65,24.81
2016,1,9,4.4311,0.91,87.66,24.3
2016,1,10,4.7688,0.36,87.27,24.29
2016,1,11,4.4669,0.01,86.59,24.94
2016,1,12,3.9794,1.32,86.02,25.08
2016,1,13,4.0601,1.49,87.99,24.99
2016,1,14,4.4482,1.29,87.62,24.92
2016,1,15,4.0262,1.01,87.28,24.59
2016,1,16,3.821,2.31,88.05,24.68
2016,1,17,5.2159,0.21,82.23,24.96
2016,1,18,5.0899,0.01,80.99,24.99
2016,1,19,4.1765,2.7,87.5,24.88
2016,1,20,4.0747,3.01,86.22,24.52
2016,1,21,4.597,0.18,83.81,24.42
2016,1,22,4.1803,0.04,84.53,24.78
2016,1,23,5.5673,0.07,79.9,25.67
2016,1,24,3.0869,13.82,87.25,23.6
2016,1,25,3.7018,9.99,84.36,21.58
2016,1,26,3.9307,1.97,83.37,22.37
2016,1,27,3.426,1.5,85.98,23.46
2016,1,28,3.9242,0.5,84.47,24.52
2016,1,29,3.281,5.64,86.15,24.85
2016,1,30,4.5125,2.26,85.94,25.38
2016,1,31,3.6758,2.79,86.44,25.08
2016,2,1,5.0201,0.75,82.46,24.34
2016,2,2,5.01,0.23,80.68,24.18
2016,2,3,2.9441,4.33,87.14,24.44
2016,2,4,4.0394,3.98,87.09,25.19
2016,2,5,4.704,11.76,84.21,26.37
2016,2,6,1.7592,32.15,90.18,23.66
2016,2,7,2.5841,15.68,89.37,22.13
2016,2,8,3.3305,3.02,84.94,22.01
2016,2,9,2.5944,4.49,86.04,22.75
2016,2,10,5.0674,2.11,85.18,23.61
2016,2,11,4.3841,1.88,85.69,23.95
2016,2,12,5.2102,0.96,83.01,23.86
2016,2,13,6.0744,0.03,81.98,23.85
2016,2,14,5.8891,0.03,80.06,24.87
2016,2,15,3.379,1.32,87.68,23.84
2016,2,16,3.6185,3.12,83.62,23.36
2016,2,17,4.8178,0.69,81.98,23.4
2016,2,18,3.9317,0.36,81.64,23.76
2016,2,19,4.7172,6.0,85.45,23.7
2016,2,20,5.8807,0.45,80.15,24.58
2016,2,21,5.1072,0.95,82.66,24.22
2016,2,22,5.6724,0.7,83.3,24.81
2016,2,23,5.8807,0.48,80.91,24.46
2016,2,24,5.5373,2.22,82.78,24.28
2016,2,25,4.0344,12.6,84.88,24.12
2016,2,26,3.439,15.2,85.32,24.17
2016,2,27,4.5449,6.9,84.8,24.01
2016,2,28,2.6789,8.7,87.36,24.45
2016,2,29,4.5562,5.45,89.01,24.87
2016,3,1,3.3182,17.11,88.92,24.22
2016,3,2,3.0902,20.65,86.98,23.64
2016,3,3,3.2688,13.25,88.19,24.06
2016,3,4,3.5465,3.75,83.62,26.03
2016,3,5,6.0955,3.33,80.97,26.58
2016,3,6,6.3662,0.02,74.63,27.4
2016,3,7,6.1085,0.42,78.41,26.83
2016,3,8,6.4157,0.0,80.16,25.91
2016,3,9,5.9479,0.02,80.57,26.21
2016,3,10,5.8308,0.31,80.34,26.32
2016,3,11,5.9366,0.0,78.22,25.81
2016,3,12,5.653,0.03,80.68,25.5
2016,3,13,6.1822,0.07,80.38,25.55
2016,3,14,6.7157,0.0,73.9,26.44
2016,3,15,4.7753,0.25,78.12,25.67
2016,3,16,6.2789,0.51,77.54,26.26
2016,3,17,4.735,3.55,81.51,26.14
2016,3,18,5.7653,2.15,81.0,25.84
2016,3,19,6.6454,0.0,78.35,25.86
2016,3,20,6.6859,0.0,79.23,25.66
2016,3,21,6.3007,0.03,79.18,25.47
2016,3,22,6.0684,0.08,78.4,26.08
2016,3,23,6.4783,0.02,76.57,26.53
2016,3,24,6.7337,0.0,71.64,27.55
2016,3,25,6.583,0.07,69.66,28.05
2016,3,26,5.9971,5.33,73.69,27.01
2016,3,27,4.1549,12.73,82.51,25.44
2016,3,28,2.9064,6.55,82.82,24.27
2016,3,29,3.8129,6.34,82.88,24.79
2016,3,30,5.0446,4.0,82.17,26.12
2016,3,31,4.7652,3.1,81.65,26.41
2016,4,1,5.4343,5.8,80.95,26.6
2016,4,2,5.5826,1.62,79.42,26.49
2016,4,3,6.7277,0.52,77.28,26.43
2016,4,4,6.3365,0.34,76.89,26.48
2016,4,5,5.6069,2.5,78.02,27.07
2016,4,6,6.2494,2.28,79.0,26.74
2016,4,7,6.385,0.8,78.48,27.07
2016,4,8,5.9304,0.95,78.28,27.34
2016,4,9,7.0625,0.16,74.55,27.07
2016,4,10,7.1736,0.0,68.54,27.68
2016,4,11,7.0802,0.0,61.43,28.95
2016,4,12,7.0339,0.06,69.73,29.12
2016,4,13,6.3758,0.15,67.81,29.81
2016,4,14,6.2203,0.6,68.82,30.13
2016,4,15,6.3166,0.83,72.11,29.37
2016,4,16,6.2988,2.14,73.81,28.81
2016,4,17,6.9598,0.01,70.82,28.42
2016,4,18,6.6593,0.42,72.01,28.67
2016,4,19,6.4308,1.0,74.53,27.84
2016,4,20,6.3005,0.89,76.11,27.85
2016,4,21,6.6115,0.22,72.97,27.9
2016,4,22,6.7123,0.51,73.1,28.09
2016,4,23,7.0176,0.19,71.07,28.35
2016,4,24,7.069,0.0,69.03,28.95
2016,4,25,6.9442,0.2,70.55,28.61
2016,4,26,7.2763,0.12,70.41,28.21
2016,4,27,6.859,1.2,71.76,28.89
2016,4,28,6.3682,4.03,66.51,30.21
2016,4,29,5.7763,5.17,69.49,29.93
2016,4,30,6.2525,3.82,76.21,27.92
2016,5,1,6.5738,4.61,75.53,28.97
2016,5,2,6.9895,0.42,71.24,29.34
2016,5,3,7.1006,0.08,71.1,29.43
2016,5,4,7.007,0.01,68.89,29.18
2016,5,5,5.4797,3.88,76.22,28.41
2016,5,6,6.5057,3.64,76.3,28.43
2016,5,7,6.3641,0.38,73.06,28.87
2016,5,8,6.7258,0.86,72.93,28.83
2016,5,9,6.3511,5.72,76.04,28.32
2016,5,10,6.4531,2.14,68.55,29.5
2016,5,11,6.5227,1.23,68.88,29.9
2016,5,12,5.3638,3.72,73.76,28.98
2016,5,13,6.0799,1.8,73.99,28.59
2016,5,14,5.131,3.29,77.91,28.18
2016,5,15,5.2601,1.09,73.75,28.69
2016,5,16,6.1973,3.74,74.36,28.42
2016,5,17,6.005,3.14,77.41,28.09
2016,5,18,6.1778,14.46,76.93,28.36
2016,5,19,5.2337,8.99,78.5,28.45
2016,5,20,4.1549,8.15,82.13,27.77
2016,5,21,5.5483,3.71,78.69,28.42
2016,5,22,4.6128,3.98,77.48,28.91
2016,5,23,4.4179,12.9,84.1,27.57
2016,5,24,5.2807,6.54,79.34,28.37
2016,5,25,4.5775,12.01,78.47,28.4
2016,5,26,5.6033,5.41,75.18,28.73
2016,5,27,5.8214,3.15,80.69,28.15
2016,5,28,5.6683,2.8,75.53,29.02
2016,5,29,5.8409,2.97,74.42,29.33
2016,5,30,4.9937,2.34,72.53,29.67
2016,5,31,4.8871,5.65,71.84,29.63
2016,6,1,4.6819,4.63,79.14,28.18
2016,6,2,6.3902,12.43,83.43,27.39
2016,6,3,6.331,3.5,81.02,27.74
2016,6,4,5.9746,1.24,77.33,28.35
2016,6,5,5.5555,1.6,80.7,27.98
2016,6,6,5.405,8.1,86.37,26.64
2016,6,7,5.6057,10.03,77.49,28.08
2016,6,8,5.6947,5.1,79.55,27.68
2016,6,9,4.7071,3.0,81.41,27.67
2016,6,10,6.0257,1.26,78.46,28.4
2016,6,11,5.4384,2.05,80.74,28.34
2016,6,12,5.5162,6.11,80.37,28.03
2016,6,13,5.9736,4.13,80.36,27.81
2016,6,14,6.1481,0.97,80.26,27.81
2016,6,15,6.6502,2.14,75.38,28.64
2016,6,16,5.5867,3.41,74.1,29.19
2016,6,17,4.129,7.59,83.22,27.81
2016,6,18,4.5852,7.16,85.83,27.41
2016,6,19,5.0546,5.86,86.21,26.9
2016,6,20,5.077,4.93,87.15,26.66
2016,6,21,5.8327,5.97,84.35,26.8
2016,6,22,4.1952,7.0,79.19,27.29
2016,6,23,4.7503,9.93,84.62,27.0
2016,6,24,4.782,11.15,85.58,26.96
2016,6,25,5.4055,12.49,86.33,27.06
2016,6,26,3.713,20.23,83.28,27.14
2016,6,27,4.8876,13.74,86.95,26.46
2016,6,28,5.7612,11.91,90.71,26.26
2016,6,29,4.1378,8.39,85.08,27.01
2016,6,30,3.5777,7.31,85.86,26.44
2016,7,1,5.9426,3.3,85.32,26.77
2016,7,2,5.0033,2.62,81.88,27.45
2016,7,3,4.331,8.45,82.45,26.69
2016,7,4,3.8234,3.35,72.78,27.94
2016,7,5,4.0224,12.44,84.11,26.85
2016,7,6,5.3748,9.75,85.55,26.47
2016,7,7,4.3284,22.33,92.12,26.12
